X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
15,120,2,1,1.0,10,10,0,0,-634.29,30.89,20.08,40.24
25,150,2,1,0.5,10,10,16,16,-2165.7,35.8,20.17,41.05
24,110,1,2,1.0,10,16,16,4,-1391.64,18.95,20.86,34.39
24,130,1,1,0.5,10,16,12,0,-1473.71,27.96,20.95,34.38
16,110,2,1,1.0,11,11,16,16,-1188.31,107.15,20.19,34.24
20,130,2,2,0.5,15,17,8,8,-1658.1,61.35,15.53,119.28
16,130,2,1,1.0,11,11,0,0,-793.66,30.99,20.02,33.52
24,150,2,1,0.5,10,10,10,10,-1851.19,70.02,20.03,41.21
24,150,2,1,0.5,15,17,0,0,-1795.28,53.76,15.54,118.14
15,120,4,1,1.0,15,17,4,0,-1095.41,53.72,17.61,112.56
23,120,1,1,0.5,14,14,4,4,-1575.98,58.62,20.04,75.92
15,120,2,1,0.5,14,17,12,16,-1429.53,88.92,19.74,107.1
15,120,4,1,1.0,14,17,6,0,-1047.22,60.71,19.8,96.54
23,120,2,1,0.5,14,14,4,4,-1669.38,71.45,19.94,76.18
15,120,4,1,1.0,14,17,2,0,-1065.43,64.53,19.01,110.34
24,110,1,2,0.5,15,17,8,4,-1774.97,38.15,18.12,114.02
15,120,4,1,1.0,14,17,12,16,-1387.15,83.69,19.79,107.95
15,120,4,1,0.5,14,17,16,16,-1388.42,61.53,18.88,112.66
15,120,4,1,1.0,14,17,4,0,-1062.82,63.02,19.68,106.69
15,120,4,1,0.5,14,17,4,0,-1199.45,44.38,19.64,107.02
24,110,1,1,0.5,10,16,12,0,-1401.82,25.52,20.55,34.51
24,130,2,1,0.5,14,17,6,0,-1679.32,53.69,19.95,97.52
24,130,2,1,0.5,15,17,4,0,-1733.0,48.67,17.83,113.86
25,140,1,2,0.5,10,12,16,12,-1915.38,36.38,20.7,35.17
21,120,2,2,0.5,15,17,12,8,-1747.6,53.79,18.04,114.13
24,150,2,1,0.5,11,11,0,0,-1796.25,77.15,20.14,34.67
17,110,2,2,0.5,10,10,8,8,-1177.5,40.71,19.99,40.47
15,120,2,2,1.0,14,17,16,16,-1207.66,66.2,18.92,111.34
15,120,2,2,0.5,14,17,16,16,-1267.02,58.28,18.98,111.79
24,110,1,1,0.5,11,16,12,2,-1478.91,28.89,20.47,39.08
15,120,4,1,1.0,10,10,0,0,-891.24,33.43,20.01,40.1
17,150,2,1,1.0,10,10,0,0,-950.4,44.27,19.96,39.78
17,110,4,1,1.0,10,10,8,8,-1041.13,59.16,19.91,39.73
20,120,2,2,0.5,15,17,8,4,-1627.96,56.55,18.08,113.66
21,120,1,2,0.5,11,11,0,0,-1363.53,45.8,20.28,34.92
16,150,2,1,1.0,11,11,0,0,-848.21,30.67,20.11,34.13
21,120,1,2,0.5,15,17,6,2,-1599.33,31.77,18.02,113.23
24,130,2,1,0.5,10,10,16,16,-1935.39,52.49,20.14,40.53
17,110,2,2,0.5,10,10,16,16,-1312.77,58.61,19.97,40.81
25,140,1,2,1.0,10,10,16,16,-1981.29,30.84,20.12,40.72
17,110,2,2,1.0,10,10,4,4,-976.3,29.97,20.18,40.41
15,130,4,1,0.5,11,11,4,4,-1099.66,38.55,20.08,34.33
24,110,2,1,1.0,11,11,16,16,-1870.93,50.9,20.32,34.54
24,150,2,1,1.0,10,10,16,16,-2034.69,47.59,20.18,40.68
23,150,1,1,0.5,12,12,16,16,-2111.76,37.46,20.42,40.1
16,130,4,1,1.0,14,17,16,16,-1563.76,73.35,18.93,112.23
19,120,2,1,0.5,14,16,16,16,-1790.43,62.75,19.75,108.5
24,150,2,1,0.5,10,10,16,16,-2043.87,46.24,20.15,41.08
19,150,2,1,0.5,10,10,16,16,-1549.71,68.48,19.93,40.17
24,110,2,1,1.0,10,14,16,8,-1582.36,49.53,20.72,34.64
