X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG
25,150,2,1,0.5,10,10,16,16,-2165.7,35.8,20.17
21,150,1,3,0.5,10,10,14,14,-1399.05,15.67,20.0
16,120,2,1,0.5,15,18,16,16,-1560.69,56.45,13.54
17,150,1,1,1.0,15,18,16,16,-1855.09,62.5,13.63
21,140,1,3,0.5,10,11,16,14,-1463.4,18.81,20.74
18,120,1,2,0.5,15,18,14,8,-1314.58,27.12,16.99
19,150,1,2,0.5,15,17,12,8,-1515.36,29.12,17.52
23,150,2,1,0.5,11,11,14,16,-1968.1,56.82,19.67
18,150,1,1,1.0,15,17,16,16,-1910.02,56.24,15.39
19,150,1,1,0.5,15,17,16,14,-1955.87,45.53,15.71
17,150,3,2,0.5,15,18,16,16,-1838.84,30.41,13.84
18,150,1,2,0.5,15,17,12,8,-1369.0,21.8,17.4
18,150,1,2,0.5,15,17,14,10,-1430.68,24.86,17.33
16,140,3,2,0.5,15,18,16,16,-1651.85,35.51,13.56
16,150,3,2,0.5,15,18,16,16,-1705.68,35.31,13.64
17,150,2,1,0.5,15,18,16,16,-1821.25,46.82,13.64
24,140,1,1,0.5,10,11,16,16,-2046.32,42.87,19.87
24,150,1,1,1.0,10,11,16,16,-2104.38,40.86,19.9
17,140,3,1,0.5,15,18,16,16,-1780.77,41.31,13.67
17,140,1,1,0.5,15,18,16,16,-1825.43,57.67,13.55
23,150,1,1,0.5,10,11,16,16,-1987.81,49.98,19.85
21,150,1,3,0.5,10,10,16,16,-1402.72,16.5,20.09
25,150,1,1,0.5,10,10,14,14,-2030.72,51.71,19.75
24,150,2,1,0.5,10,11,16,16,-2106.9,44.25,19.89
24,150,1,2,0.5,11,11,16,16,-2003.9,31.96,20.0
17,140,2,2,0.5,15,18,16,16,-1698.48,37.61,13.61
18,150,1,1,0.5,15,17,16,16,-1942.88,52.22,15.47
16,150,2,1,0.5,15,18,16,16,-1702.63,55.07,13.62
21,130,1,3,0.5,10,10,16,16,-1428.68,18.18,20.11
18,150,3,1,1.0,15,17,16,16,-1941.86,50.33,15.54
17,150,1,1,0.5,15,18,16,16,-1860.23,57.66,13.72
24,150,1,2,0.5,10,11,16,16,-1975.4,33.07,19.94
17,140,3,2,0.5,15,18,16,16,-1789.89,31.47,13.72
17,130,1,3,0.5,15,18,16,16,-1464.02,30.47,13.72
20,150,1,3,0.5,11,11,16,16,-1438.85,27.08,19.72
22,130,1,3,0.5,10,10,14,14,-1460.96,19.28,19.91
18,150,3,1,0.5,15,17,16,16,-1930.75,41.97,15.42
24,150,1,1,1.0,11,11,16,16,-2144.66,38.86,19.97
25,150,1,2,1.0,10,10,16,16,-2041.77,28.37,20.13
22,130,1,3,0.5,11,11,16,16,-1532.33,21.4,19.91
24,150,1,1,0.5,11,11,16,16,-2137.82,38.59,19.96
17,140,1,3,0.5,15,18,16,16,-1528.98,30.1,13.78
25,150,1,1,1.0,10,10,16,16,-2139.44,36.91,20.14
22,140,1,3,0.5,11,11,16,16,-1539.23,21.67,19.95
24,140,1,2,0.5,11,11,16,16,-1944.83,32.87,19.99
25,150,2,1,1.0,10,10,16,16,-2158.1,38.06,20.15
21,140,1,3,0.5,10,10,16,16,-1442.74,19.19,20.16
23,140,1,1,0.5,10,11,16,16,-1967.2,50.16,19.84
17,150,3,1,1.0,15,18,16,16,-1858.59,55.93,13.71
17,150,1,3,0.5,15,18,16,16,-1531.63,30.62,13.79
