X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,10.0,0.0,0.0,600.65,31.83,17.96,0.23772763909776531,0.1387493714663031,0.011481299410543119
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,14.0,8.0,8.0,850.13,65.77,20.06,0.10818131308282916,0.026025722827353794,0.04372876316112778
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,18.0,16.0,16.0,1005.93,77.8,13.81,0.05281898598227585,0.12287502591030955,0.5360448313159426
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,14.0,13.0,16.0,1190.6,64.7,17.1,0.012628736371520196,0.020879009277691,0.05601216719224552
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,18.0,6.0,0.0,1256.2,35.36,15.99,0.004992476061887442,0.1004700842264931,0.16308478497260398
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,10.0,8.0,8.0,911.65,18.65,20.12,0.08397469457782332,0.33615488953804445,0.04758958798653397
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,18.0,14.0,8.0,1223.51,56.09,14.51,0.00836266274111912,8.236948131134668e-05,0.3927894133925759
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,10.0,16.0,16.0,1069.78,67.31,19.32,0.03580291518420019,0.03442744860554781,0.00953912643483848
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,14.0,3.0,0.0,922.45,37.98,19.93,0.08004107091680718,0.07604481078709041,0.03592386552506819
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,14.0,8.0,0.0,1096.47,46.14,20.45,0.02966741488172056,0.021732653445863597,0.07174318026730352
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,18.0,0.0,8.0,1278.9,61.69,17.88,0.003160771835636567,0.009438856065626305,0.014208405962588063
20.0,10.0,2.5,1.0,2.0,1.0,1.25,10.0,10.0,16.0,16.0,1371.05,55.3,19.52,5.686718391684688e-06,1.1219334948761529e-05,0.01633001152808965
20.0,12.5,3.5,0.5,1.0,1.5,1.5,10.0,10.0,16.0,16.0,1486.62,69.31,20.14,0.005758492041795968,0.04709020847069877,0.04891281933226492
20.0,12.5,3.6,0.5,1.0,2.0,1.0,10.0,10.0,0.0,0.0,1296.92,65.42,17.76,0.00200349412656567,0.024279879443696962,0.01884341184958977
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,14.0,16.0,8.0,1404.64,54.89,19.74,0.0005639297281471776,9.600269116847955e-05,0.02589571745756386
20.0,15.0,1.0,0.75,1.0,1.5,1.5,10.0,10.0,8.0,8.0,1317.32,79.63,20.08,0.001010378084980771,0.14388212838385867,0.04499755990096528
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,14.0,16.0,16.0,1522.4,68.41,18.36,0.009729857934652038,0.04114706350753594,0.0022005351217951343
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,18.0,0.0,0.0,1216.31,45.32,19.0,0.009221115854391643,0.025701581352266117,0.002447842960916005
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,18.0,8.0,0.0,1228.7,82.23,19.84,0.0077698701212064215,0.17657757079117548,0.03096956035257099
25.0,10.0,2.6,0.75,1.0,1.0,1.5,10.0,10.0,8.0,8.0,1683.46,70.17,19.98,0.04042944746326417,0.05314364316973267,0.03883502488808925
25.0,10.0,2.6,0.75,1.0,1.5,1.0,10.0,10.0,16.0,16.0,1786.52,48.12,17.94,0.0710834008482166,0.013520601532227653,0.012135858745607615
25.0,12.5,1.0,1.0,1.0,2.0,1.25,10.0,10.0,16.0,16.0,1945.02,45.69,19.4,0.13499547956230956,0.023869535402573118,0.012037742048565076
25.0,12.5,1.0,1.0,2.5,1.0,1.5,14.0,14.0,0.0,0.0,1631.14,49.15,19.9,0.02815561610133468,0.010015617804251553,0.03423160451314897
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,14.0,8.0,8.0,1527.98,39.43,18.25,0.010442551402485182,0.06398690092095373,0.004029218664533678
25.0,15.0,2.5,0.5,1.0,2.0,1.25,14.0,14.0,8.0,8.0,2092.28,46.13,19.16,0.21258694245692278,0.02177905125368448,0.005412848901680414
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,10.0,16.0,16.0,2173.03,35.63,20.09,0.2625812109183553,0.0977960153205783,0.04563876259662083
25.0,15.0,2.5,0.5,1.1,1.5,1.0,10.0,10.0,0.0,0.0,1827.45,80.7,17.84,0.08564127638248119,0.1569325799056909,0.015680828450397366
