X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,12,16,8,7,-46.0,-1487.73,90.2
23,100,2,0.5,1,2.5,1.5,10,15,0,5,-45.0,-1206.24,177.94
24,130,2,0.5,1,2.0,1.5,11,18,8,1,-39.0,-1447.91,100.33
20,140,2,0.5,2,2.5,1.5,14,18,8,4,-43.0,-1305.74,76.32
15,130,3,0.5,1,2.0,1.5,12,15,11,8,-48.0,-943.66,74.75
15,140,1,0.5,3,2.0,1.5,13,15,2,0,-44.0,-1137.09,102.91
16,140,4,0.5,1,2.0,1.5,14,17,2,0,-35.0,-1255.36,63.82
24,110,1,0.5,2,2.0,1.5,12,13,1,0,-44.0,-1620.7,55.4
17,100,2,0.5,1,2.5,1.5,11,13,8,6,-45.0,-837.02,93.36
19,140,1,0.5,1,2.5,1.5,12,13,12,11,-47.0,-1307.86,95.11
17,100,3,0.5,2,2.5,1.5,10,16,4,2,-42.0,-952.48,79.14
19,110,3,0.5,1,2.0,1.5,13,15,11,9,-47.0,-1268.84,61.99
22,100,2,0.5,2,2.0,1.5,10,15,2,2,-45.0,-1480.28,84.88
24,120,2,0.5,1,2.0,1.5,10,12,2,4,-45.0,-1619.73,87.22
16,140,1,0.5,3,2.0,1.5,10,17,8,2,-45.0,-1037.83,143.8
22,140,1,0.5,1,2.0,1.5,10,16,11,5,-45.0,-1315.24,97.03
15,100,1,0.5,4,2.5,1.5,12,14,10,8,-47.0,-758.66,151.76
24,110,2,0.5,1,2.0,1.5,10,12,8,7,-46.0,-1580.15,73.15
22,110,2,0.5,2,2.0,1.5,11,18,2,3,-43.0,-1456.15,106.55
21,100,1,0.5,3,2.0,1.5,12,17,10,5,-46.0,-1305.88,95.61
24,120,1,0.5,2,2.5,1.5,11,16,2,3,-44.0,-1391.04,111.59
16,130,4,0.5,1,2.0,1.5,12,17,4,9,-47.0,-1110.65,114.58
15,110,1,0.5,1,2.0,1.5,14,17,5,2,-37.0,-715.11,140.14
23,140,3,0.5,1,2.5,1.5,13,17,6,3,-44.0,-1454.58,90.5
23,140,1,0.5,3,2.5,1.5,15,17,2,0,-35.0,-1502.17,46.31
18,120,1,0.5,2,2.5,1.5,11,13,4,6,-47.0,-978.37,74.6
25,120,2,0.5,1,2.0,1.5,15,18,3,0,-35.0,-1710.95,83.0
24,100,2,0.5,1,2.5,1.5,11,13,0,2,-44.0,-1391.45,95.59
22,120,3,0.5,1,2.0,1.5,14,16,2,0,-39.0,-1588.28,76.5
18,120,3,0.5,1,2.5,1.5,11,13,10,8,-46.0,-1050.54,68.49
20,150,3,0.5,1,2.0,1.5,12,16,10,7,-46.0,-1468.61,81.26
24,120,2,0.5,1,2.0,1.5,11,16,5,0,-40.0,-1527.52,103.85
18,140,3,0.5,1,2.0,1.5,12,14,0,2,-46.0,-1279.53,76.59
19,100,3,0.5,1,2.0,1.5,10,16,0,6,-46.0,-1094.93,155.57
24,140,2,0.5,1,2.0,1.5,10,13,7,4,-45.0,-1666.29,85.09
15,100,1,0.5,4,2.5,1.5,10,16,6,6,-46.0,-655.3,144.53
19,150,1,0.5,3,2.0,1.5,13,17,0,4,-45.0,-1371.55,73.86
22,100,3,0.5,1,2.0,1.5,12,16,4,0,-40.0,-1419.39,99.29
25,110,2,0.5,1,2.5,1.5,14,18,2,0,-35.0,-1496.73,85.6
24,130,2,0.5,1,2.5,1.5,12,16,6,3,-44.0,-1476.6,99.88
23,110,2,0.5,1,2.0,1.5,14,15,6,5,-46.0,-1552.16,81.07
21,110,3,0.5,1,2.5,1.5,10,11,3,2,-43.0,-1302.08,86.97
24,150,2,0.5,1,2.5,1.5,10,13,3,0,-43.0,-1550.22,103.41
22,140,3,0.5,1,2.0,1.5,14,16,0,2,-43.0,-1608.93,88.84
22,130,3,0.5,1,2.0,1.5,12,13,1,0,-44.0,-1601.77,76.94
19,150,2,0.5,2,2.0,1.5,12,16,8,4,-46.0,-1426.92,73.15
20,100,3,0.5,1,2.5,1.5,14,17,4,4,-44.0,-1145.62,86.02
18,100,3,0.5,1,2.0,1.5,13,18,2,7,-47.0,-1127.37,114.65
23,110,2,0.5,1,2.0,1.5,10,11,3,2,-44.0,-1553.2,79.48
15,120,1,0.5,2,2.5,1.5,10,18,16,10,-48.0,-646.87,252.91
17,150,3,0.5,2,2.0,1.5,14,16,8,6,-47.0,-1401.01,45.35
22,150,1,0.5,3,2.5,1.5,14,17,7,4,-44.0,-1382.81,63.23
18,100,1,0.5,1,2.5,1.5,10,17,0,7,-47.0,-686.34,238.01
15,130,2,0.5,1,2.0,1.5,13,14,9,8,-47.0,-974.14,58.32
16,100,1,0.5,3,2.0,1.5,14,18,4,0,-35.0,-1207.85,109.95
16,150,3,0.5,2,2.0,1.5,13,15,6,4,-47.0,-1358.93,53.13
18,100,3,0.5,1,2.0,1.5,12,16,6,2,-44.0,-1162.54,82.76
23,120,3,0.5,1,2.5,1.5,12,15,8,5,-45.0,-1419.79,105.41
21,150,2,0.5,1,2.5,1.5,12,14,10,8,-47.0,-1466.93,91.6
19,130,3,0.5,1,2.5,1.5,12,13,7,6,-45.0,-1190.29,80.11
21,120,3,0.5,1,2.0,1.5,12,16,10,6,-46.0,-1389.02,94.97
17,100,1,0.5,4,2.0,1.5,11,12,14,14,-46.0,-1103.2,168.58
22,130,3,0.5,1,2.5,1.5,12,14,9,7,-45.0,-1464.7,94.65
16,140,2,0.5,3,2.0,1.5,14,17,7,4,-48.0,-1336.24,68.86
24,120,2,0.5,1,2.0,1.5,11,12,4,5,-45.0,-1647.32,77.15
18,100,3,0.5,1,2.5,1.5,13,18,0,5,-44.0,-908.3,141.78
21,120,3,0.5,1,2.0,1.5,12,13,8,9,-46.0,-1511.58,83.91
23,100,2,0.5,1,2.0,1.5,10,15,0,5,-45.0,-1357.01,146.02
