X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,8.15,6.71,-47.0,-1087.29,87.68
20.33,115.4,1.6,0.69,2.56,2.39,1.88,14.94,15.99,4.49,5.53,-46.0,-1478.57,50.01
18.48,120.1,1.85,0.88,2.68,2.32,1.67,11.35,17.17,6.85,7.36,-46.0,-1143.41,75.29
21.63,109.7,0.9,0.95,2.07,2.49,1.7,11.19,17.23,6.09,0.05,-35.0,-1121.32,100.46
17.52,119.5,1.18,0.58,3.77,2.18,1.62,12.47,14.96,5.0,2.51,-46.0,-1150.32,94.81
21.39,102.0,3.65,0.26,0.5,2.33,1.83,14.54,17.46,0.22,3.14,-44.0,-1290.14,120.07
21.17,135.9,3.8,0.56,0.5,2.52,1.7,12.43,14.83,8.79,7.0,-46.0,-1397.77,108.97
24.19,91.6,2.38,0.17,0.94,2.32,1.75,10.11,17.58,7.72,0.24,-37.0,-1308.48,129.88
20.46,123.9,1.5,0.49,2.6,2.31,1.8,12.17,16.46,5.04,6.08,-46.0,-1463.57,61.77
24.74,108.4,3.09,0.58,0.5,2.44,1.79,13.75,16.87,4.51,1.4,-41.0,-1456.74,80.2
23.64,85.8,1.52,0.45,1.84,2.24,1.7,11.59,14.98,6.88,4.38,-46.0,-1455.42,88.9
20.28,124.2,1.91,0.73,2.32,2.66,1.78,12.33,12.74,1.09,1.5,-44.0,-1316.39,62.06
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,5.52,3.6,-46.0,-1014.67,117.59
23.52,93.3,2.66,0.23,0.86,2.4,1.74,10.76,14.97,8.7,4.51,-46.0,-1369.24,107.31
16.45,120.1,1.28,0.52,3.25,2.05,1.55,14.36,16.76,8.62,9.8,-48.0,-1280.31,58.72
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,13.72,3.72,3.54,-43.0,-1092.46,66.17
21.22,132.5,0.99,0.71,3.06,2.66,1.7,11.25,11.39,1.91,2.05,-44.0,-1282.52,49.21
20.12,135.1,0.61,0.72,3.62,2.28,1.76,11.63,16.88,8.94,6.0,-43.0,-1201.34,87.91
23.3,111.9,2.86,0.58,0.78,2.62,1.84,11.76,16.85,3.12,2.85,-44.0,-1319.55,111.34
17.9,121.9,2.0,0.81,1.74,2.28,1.78,11.54,15.87,7.87,3.54,-45.0,-1138.25,90.68
24.17,116.9,2.44,0.31,1.04,2.68,1.96,13.53,13.82,2.02,2.31,-45.0,-1644.82,90.08
20.28,119.2,1.02,0.55,1.26,2.56,1.86,10.88,16.9,0.32,5.83,-46.0,-1053.44,184.62
19.48,122.8,2.1,0.66,0.96,2.52,1.95,13.03,16.13,8.08,7.39,-47.0,-1214.08,100.46
21.24,127.0,0.53,0.99,0.77,2.63,1.97,10.04,16.58,11.71,5.17,-47.0,-1029.23,135.64
22.92,115.7,3.45,0.41,0.5,2.25,1.66,10.86,13.27,3.86,6.27,-46.0,-1467.41,131.58
24.75,85.6,2.89,0.64,0.5,2.36,1.81,11.26,16.34,6.93,1.9,-43.0,-1228.95,114.51
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,17.11,2.95,5.78,-45.0,-1122.37,70.96
