X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
20,150,3,0.5,1,2.0,1.5,12,16,8,7,21.79
23,100,2,0.5,1,2.5,1.5,10,15,0,5,20.89
24,130,2,0.5,1,2.0,1.5,11,18,8,1,20.35
20,140,2,0.5,2,2.5,1.5,14,18,8,4,21.61
15,130,3,0.5,1,2.0,1.5,12,15,11,8,20.78
15,140,1,0.5,3,2.0,1.5,13,15,2,0,19.75
16,140,4,0.5,1,2.0,1.5,14,17,2,0,20.63
24,110,1,0.5,2,2.0,1.5,12,13,1,0,20.74
17,100,2,0.5,1,2.5,1.5,11,13,8,6,20.52
19,140,1,0.5,1,2.5,1.5,12,13,12,11,22.39
17,100,3,0.5,2,2.5,1.5,10,16,4,2,21.37
19,110,3,0.5,1,2.0,1.5,13,15,11,9,22.22
22,100,2,0.5,2,2.0,1.5,10,15,2,2,21.35
24,120,2,0.5,1,2.0,1.5,10,12,2,4,20.74
16,140,1,0.5,3,2.0,1.5,10,17,8,2,21.81
22,140,1,0.5,1,2.0,1.5,10,16,11,5,20.72
15,100,1,0.5,4,2.5,1.5,12,14,10,8,22.36
24,110,2,0.5,1,2.0,1.5,10,12,8,7,22.13
22,110,2,0.5,2,2.0,1.5,11,18,2,3,19.37
21,100,1,0.5,3,2.0,1.5,12,17,10,5,22.12
24,120,1,0.5,2,2.5,1.5,11,16,2,3,19.77
16,130,4,0.5,1,2.0,1.5,12,17,4,9,20.6
15,110,1,0.5,1,2.0,1.5,14,17,5,2,19.43
23,140,3,0.5,1,2.5,1.5,13,17,6,3,19.86
23,140,1,0.5,3,2.5,1.5,15,17,2,0,19.41
18,120,1,0.5,2,2.5,1.5,11,13,4,6,20.13
25,120,2,0.5,1,2.0,1.5,15,18,3,0,20.5
24,100,2,0.5,1,2.5,1.5,11,13,0,2,20.19
22,120,3,0.5,1,2.0,1.5,14,16,2,0,20.88
18,120,3,0.5,1,2.5,1.5,11,13,10,8,20.77
20,150,3,0.5,1,2.0,1.5,12,16,10,7,21.85
24,120,2,0.5,1,2.0,1.5,11,16,5,0,21.38
18,140,3,0.5,1,2.0,1.5,12,14,0,2,20.72
19,100,3,0.5,1,2.0,1.5,10,16,0,6,20.69
24,140,2,0.5,1,2.0,1.5,10,13,7,4,20.13
15,100,1,0.5,4,2.5,1.5,10,16,6,6,21.75
19,150,1,0.5,3,2.0,1.5,13,17,0,4,19.96
22,100,3,0.5,1,2.0,1.5,12,16,4,0,21.29
25,110,2,0.5,1,2.5,1.5,14,18,2,0,20.42
24,130,2,0.5,1,2.5,1.5,12,16,6,3,21.44
23,110,2,0.5,1,2.0,1.5,14,15,6,5,21.56
21,110,3,0.5,1,2.5,1.5,10,11,3,2,20.63
24,150,2,0.5,1,2.5,1.5,10,13,3,0,19.7
22,140,3,0.5,1,2.0,1.5,14,16,0,2,20.16
22,130,3,0.5,1,2.0,1.5,12,13,1,0,20.56
19,150,2,0.5,2,2.0,1.5,12,16,8,4,21.72
20,100,3,0.5,1,2.5,1.5,14,17,4,4,21.16
18,100,3,0.5,1,2.0,1.5,13,18,2,7,19.96
23,110,2,0.5,1,2.0,1.5,10,11,3,2,20.61
15,120,1,0.5,2,2.5,1.5,10,18,16,10,37.38
17,150,3,0.5,2,2.0,1.5,14,16,8,6,21.77
22,150,1,0.5,3,2.5,1.5,14,17,7,4,19.99
18,100,1,0.5,1,2.5,1.5,10,17,0,7,20.96
15,130,2,0.5,1,2.0,1.5,13,14,9,8,22.15
16,100,1,0.5,3,2.0,1.5,14,18,4,0,21.24
16,150,3,0.5,2,2.0,1.5,13,15,6,4,20.08
18,100,3,0.5,1,2.0,1.5,12,16,6,2,21.47
23,120,3,0.5,1,2.5,1.5,12,15,8,5,21.9
21,150,2,0.5,1,2.5,1.5,12,14,10,8,22.17
19,130,3,0.5,1,2.5,1.5,12,13,7,6,21.1
21,120,3,0.5,1,2.0,1.5,12,16,10,6,21.93
17,100,1,0.5,4,2.0,1.5,11,12,14,14,34.03
22,130,3,0.5,1,2.5,1.5,12,14,9,7,20.62
16,140,2,0.5,3,2.0,1.5,14,17,7,4,19.92
24,120,2,0.5,1,2.0,1.5,11,12,4,5,20.22
18,100,3,0.5,1,2.5,1.5,13,18,0,5,19.74
21,120,3,0.5,1,2.0,1.5,12,13,8,9,20.58
23,100,2,0.5,1,2.0,1.5,10,15,0,5,20.88
21,150,2,0.5,1,2.5,1.5,12,13,10,9,22.18
23,150,2,0.5,1,2.0,1.5,15,17,2,0,19.21
25,110,2,0.5,1,2.5,1.5,14,18,4,0,21.03
19,100,2,0.5,1,2.5,1.5,10,17,8,7,21.69
15,100,2,0.5,2,2.0,1.5,10,15,9,4,20.48
16,130,3,0.5,1,2.0,1.5,13,14,14,13,30.24
17,100,1,0.5,4,2.0,1.5,11,12,15,14,36.5
22,140,3,0.5,1,2.5,1.5,14,16,2,0,20.7
16,140,2,0.5,1,2.0,1.5,11,17,4,0,19.62
22,120,1,0.5,2,2.5,1.5,10,18,11,3,20.77
21,110,3,0.5,1,2.5,1.5,10,11,4,4,20.23
16,140,4,0.5,1,2.0,1.5,14,17,3,0,19.09
25,120,2,0.5,1,2.0,1.5,11,13,0,2,20.24
24,120,2,0.5,1,2.0,1.5,10,15,4,4,21.6
19,130,3,0.5,1,2.0,1.5,12,16,12,8,22.28
16,140,2,0.5,1,2.0,1.5,13,17,8,4,20.15
18,100,3,0.5,1,2.0,1.5,13,18,4,7,20.54
21,120,2,0.5,1,2.0,1.5,11,16,5,0,21.37
17,100,2,0.5,1,2.0,1.5,11,15,0,4,19.95
18,140,1,0.5,3,2.5,1.5,11,17,8,8,20.42
20,100,3,0.5,1,2.5,1.5,10,17,8,6,21.81
15,120,1,0.5,2,2.0,1.5,10,16,16,12,37.41
23,110,2,0.5,1,2.0,1.5,14,15,4,5,20.48
24,120,1,0.5,1,2.5,1.5,11,16,4,3,19.59
16,100,3,0.5,1,2.0,1.5,14,16,2,0,20.79
21,140,3,0.5,1,2.5,1.5,10,11,8,8,20.52
18,140,1,0.5,1,2.5,1.5,10,17,0,7,20.88
19,120,3,0.5,1,2.5,1.5,12,13,12,11,22.67
19,110,3,0.5,1,2.0,1.5,13,15,8,6,20.43
22,110,3,0.5,1,2.0,1.5,12,18,4,3,21.33
15,100,3,0.5,2,2.5,1.5,12,14,8,6,22.02
20,140,1,0.5,2,2.5,1.5,10,18,13,5,22.55
24,130,2,0.5,1,2.0,1.5,10,18,9,1,20.28
24,100,2,0.5,1,2.0,1.5,11,13,4,4,20.82
16,150,1,0.5,2,2.0,1.5,13,15,8,8,21.02
18,120,1,0.5,1,2.5,1.5,11,16,14,9,28.29
22,110,3,0.5,1,2.5,1.5,10,13,11,8,20.77
19,100,3,0.5,1,2.5,1.5,10,16,0,6,20.7
17,100,2,0.5,1,2.5,1.5,11,14,15,12,36.28
24,110,2,0.5,1,2.0,1.5,10,12,9,7,20.48
17,140,1,0.5,3,2.5,1.5,14,16,12,10,22.44
23,110,1,0.5,1,2.0,1.5,10,13,6,7,21.87
19,150,1,0.5,3,2.0,1.5,13,16,8,8,20.59
22,100,1,0.5,3,2.5,1.5,10,16,4,5,21.63
15,130,2,0.5,1,2.0,1.5,12,15,16,13,40.06
15,130,1,0.5,3,2.0,1.5,13,15,2,0,19.7
19,120,1,0.5,1,2.0,1.5,12,13,12,11,22.63
19,130,3,0.5,1,2.5,1.5,12,13,12,11,22.44
24,120,2,0.5,1,2.0,1.5,14,16,2,0,20.88
24,150,2,0.5,1,2.0,1.5,10,13,3,0,19.67
15,140,1,0.5,1,2.0,1.5,10,16,16,10,39.98
22,110,3,0.5,1,2.0,1.5,11,18,4,3,19.71
18,100,3,0.5,1,2.0,1.5,12,16,12,8,22.1
17,150,3,0.5,2,2.0,1.5,14,16,12,10,22.2
15,100,3,0.5,1,2.0,1.5,10,15,0,5,20.72
15,130,1,0.5,3,2.0,1.5,10,14,16,14,37.23
16,130,4,0.5,1,2.0,1.5,12,17,8,10,22.19
24,150,2,0.5,1,2.5,1.5,12,13,7,6,21.04
23,100,1,0.5,3,2.5,1.5,10,12,10,8,22.5
15,100,1,0.5,4,2.5,1.5,14,15,12,12,23.3
22,140,3,0.5,1,2.5,1.5,14,18,0,3,18.97
22,100,2,0.5,2,2.0,1.5,10,15,9,4,20.46
22,120,1,0.5,3,2.0,1.5,14,18,4,0,21.17
20,100,2,0.5,2,2.5,1.5,14,18,9,5,20.3
20,150,1,0.5,3,2.5,1.5,13,17,0,4,19.93
18,130,3,0.5,1,2.5,1.5,11,13,14,12,28.86
17,100,3,0.5,2,2.5,1.5,10,16,8,10,22.09
23,120,2,0.5,1,2.5,1.5,11,15,9,5,21.85
23,140,1,0.5,1,2.5,1.5,13,17,7,3,21.53
24,130,2,0.5,1,2.0,1.5,12,16,6,2,21.53
18,120,1,0.5,2,2.0,1.5,11,13,8,10,20.16
15,140,3,0.5,1,2.0,1.5,14,17,7,4,20.01
16,140,3,0.5,2,2.0,1.5,10,17,11,4,20.8
20,150,3,0.5,1,2.5,1.5,14,17,8,6,21.59
24,120,2,0.5,1,2.0,1.5,12,18,7,1,20.08
22,100,2,0.5,2,2.5,1.5,10,15,4,4,21.58
23,110,1,0.5,1,2.5,1.5,13,17,7,3,21.48
21,120,1,0.5,1,2.0,1.5,12,16,10,6,21.92
22,140,3,0.5,1,2.0,1.5,14,18,0,3,18.95
18,100,2,0.5,1,2.5,1.5,10,13,3,0,19.64
15,130,2,0.5,1,2.0,1.5,13,14,15,14,36.28
18,100,3,0.5,1,2.0,1.5,13,17,4,0,19.37
24,120,2,0.5,1,2.0,1.5,11,12,8,7,21.09
19,100,2,0.5,1,2.0,1.5,10,15,13,8,22.62
16,140,2,0.5,3,2.0,1.5,10,17,14,8,32.0
17,100,2,0.5,2,2.5,1.5,10,16,8,4,21.86
24,130,2,0.5,1,2.0,1.5,10,17,9,2,20.24
19,150,2,0.5,1,2.0,1.5,12,16,12,8,22.05
24,100,2,0.5,1,2.0,1.5,10,15,9,4,20.31
16,150,3,0.5,2,2.0,1.5,14,18,4,0,21.01
18,130,3,0.5,1,2.0,1.5,11,13,14,12,28.85
16,140,2,0.5,1,2.0,1.5,11,18,0,4,19.79
15,100,3,0.5,1,2.5,1.5,12,14,14,12,29.43
16,150,1,0.5,1,2.0,1.5,13,15,14,12,28.72
22,150,1,0.5,1,2.5,1.5,14,17,3,0,19.13
22,100,2,0.5,1,2.0,1.5,14,16,6,4,21.46
21,130,3,0.5,1,2.0,1.5,14,16,8,6,21.79
16,150,3,0.5,2,2.0,1.5,10,12,10,8,22.22
19,130,1,0.5,3,2.0,1.5,10,14,14,10,28.73
23,130,2,0.5,1,2.0,1.5,15,17,4,3,19.71
15,120,2,0.5,2,2.0,1.5,10,18,16,8,40.22
16,100,2,0.5,1,2.5,1.5,13,15,8,6,20.33
16,140,2,0.5,3,2.0,1.5,14,17,13,10,22.84
22,110,3,0.5,1,2.0,1.5,11,18,8,3,20.22
23,130,2,0.5,1,2.0,1.5,13,17,7,3,21.48
15,120,3,0.5,2,2.5,1.5,11,14,2,5,20.26
21,150,3,0.5,1,2.0,1.5,12,16,10,6,21.86
23,140,2,0.5,1,2.5,1.5,14,15,4,5,20.38
15,100,3,0.5,1,2.0,1.5,14,16,2,0,20.8
24,100,2,0.5,1,2.5,1.5,11,13,6,4,20.14
24,110,2,0.5,1,2.0,1.5,14,18,4,0,20.89
19,130,3,0.5,1,2.0,1.5,12,13,12,11,22.49
22,150,2,0.5,1,2.0,1.5,14,15,0,1,20.14
22,150,1,0.5,3,2.5,1.5,11,17,10,4,20.84
24,120,2,0.5,1,2.5,1.5,11,18,7,0,21.65
20,150,3,0.5,1,2.5,1.5,12,16,11,7,20.75
24,100,2,0.5,1,2.5,1.5,11,15,0,4,20.14
24,150,2,0.5,1,2.5,1.5,13,18,0,1,19.23
15,130,3,0.5,1,2.0,1.5,12,15,16,13,40.07
16,140,3,0.5,1,2.0,1.5,14,18,4,8,20.34
17,150,3,0.5,2,2.0,1.5,14,16,4,6,20.4
22,120,1,0.5,2,2.0,1.5,12,13,9,8,21.19
23,120,3,0.5,1,2.5,1.5,10,17,10,3,21.94
25,110,1,0.5,1,2.0,1.5,12,13,1,0,20.62
16,140,2,0.5,1,2.0,1.5,13,18,13,8,22.36
21,120,3,0.5,1,2.0,1.5,12,13,10,9,22.22
15,150,2,0.5,1,2.0,1.5,15,17,2,0,19.33
22,120,1,0.5,3,2.0,1.5,13,15,8,6,20.49
15,130,2,0.5,1,2.5,1.5,12,15,16,13,40.09
15,110,1,0.5,2,2.0,1.5,14,17,7,4,20.0
18,120,1,0.5,2,2.0,1.5,11,13,14,12,28.92
15,140,1,0.5,4,2.5,1.5,14,15,0,1,20.2
16,120,2,0.5,1,2.0,1.5,12,15,3,0,19.52
24,100,1,0.5,2,2.5,1.5,13,15,6,4,20.11
22,130,3,0.5,1,2.0,1.5,12,18,2,0,20.99
15,120,1,0.5,1,2.0,1.5,12,13,16,15,40.39
15,150,3,0.5,1,2.0,1.5,12,15,3,0,19.43
15,140,1,0.5,4,2.0,1.5,14,17,14,11,28.36
17,150,3,0.5,2,2.0,1.5,14,16,10,8,22.06
17,100,3,0.5,2,2.5,1.5,10,16,8,4,21.81
16,140,4,0.5,1,2.5,1.5,12,17,8,6,21.79
24,100,1,0.5,2,2.5,1.5,12,16,7,3,20.17
16,150,1,0.5,2,2.0,1.5,11,15,16,12,38.73
23,110,1,0.5,2,2.0,1.5,15,17,2,0,19.43
16,120,1,0.5,2,2.5,1.5,10,18,16,9,38.25
24,120,2,0.5,1,2.0,1.5,11,16,8,3,20.25
15,120,2,0.5,1,2.0,1.5,13,14,15,14,36.21
24,150,2,0.5,1,2.5,1.5,12,13,0,1,20.89
16,140,2,0.5,1,2.5,1.5,14,17,3,0,19.13
16,130,3,0.5,1,2.5,1.5,13,14,14,13,30.37
22,100,3,0.5,1,2.5,1.5,10,18,11,3,20.79
18,130,3,0.5,1,2.0,1.5,12,13,13,12,24.4
15,110,3,0.5,1,2.0,1.5,11,17,8,6,20.33
15,100,2,0.5,1,2.0,1.5,10,15,13,8,22.5
23,100,3,0.5,1,2.5,1.5,12,13,8,7,22.1
18,100,3,0.5,1,2.5,1.5,13,18,4,0,19.25
24,120,2,0.5,1,2.5,1.5,10,12,6,7,20.41
16,130,4,0.5,1,2.0,1.5,12,17,15,10,37.23
17,100,3,0.5,2,2.5,1.5,12,14,14,12,29.61
22,110,1,0.5,1,2.0,1.5,14,18,7,3,19.9
17,150,1,0.5,2,2.0,1.5,11,16,15,10,36.24
24,140,2,0.5,1,2.0,1.5,10,13,9,6,20.39
19,120,1,0.5,1,2.5,1.5,10,12,14,12,29.15
24,150,2,0.5,1,2.0,1.5,11,13,2,0,19.7
19,140,3,0.5,1,2.0,1.5,14,16,2,0,20.69
15,100,2,0.5,2,2.0,1.5,14,15,9,8,21.14
16,100,3,0.5,1,2.0,1.5,10,16,4,0,21.25
16,150,2,0.5,1,2.0,1.5,12,15,3,0,19.32
15,110,2,0.5,2,2.5,1.5,14,18,4,0,20.98
15,150,1,0.5,4,2.5,1.5,12,13,16,15,40.49
19,100,1,0.5,3,2.0,1.5,13,16,3,0,21.36
22,130,1,0.5,3,2.0,1.5,13,14,3,2,21.25
18,120,3,0.5,1,2.0,1.5,11,13,14,12,28.84
24,140,2,0.5,1,2.0,1.5,10,14,9,5,20.35
16,150,3,0.5,2,2.0,1.5,10,12,16,15,38.89
16,140,2,0.5,3,2.0,1.5,15,18,3,0,20.61
22,110,1,0.5,1,2.0,1.5,14,18,4,0,20.84
23,110,2,0.5,1,2.0,1.5,10,17,8,3,21.66
15,100,3,0.5,1,2.0,1.5,12,15,16,13,40.12
15,150,2,0.5,1,2.0,1.5,15,17,4,2,19.38
16,150,1,0.5,2,2.0,1.5,11,14,16,13,38.8
17,150,1,0.5,2,2.0,1.5,11,16,11,6,22.11
22,130,3,0.5,1,2.0,1.5,14,15,7,6,20.86
22,100,2,0.5,2,2.0,1.5,10,15,11,6,20.78
15,130,1,0.5,3,2.5,1.5,13,15,2,0,19.7
15,120,3,0.5,2,2.5,1.5,12,14,4,6,20.56
16,120,2,0.5,1,2.0,1.5,11,15,4,0,19.72
23,110,1,0.5,1,2.0,1.5,15,17,2,0,19.29
15,140,1,0.5,1,2.0,1.5,14,17,3,0,19.25
23,150,2,0.5,1,2.0,1.5,15,17,5,3,21.1
25,150,1,0.5,1,2.0,1.5,13,18,5,0,21.21
24,150,2,0.5,1,2.0,1.5,14,16,5,3,19.78
16,140,1,0.5,3,2.5,1.5,14,17,4,7,20.62
24,140,2,0.5,1,2.0,1.5,14,17,5,2,19.54
18,120,1,0.5,2,2.0,1.5,10,13,4,7,20.5
16,100,2,0.5,1,2.5,1.5,14,15,13,12,24.26
15,120,3,0.5,1,2.0,1.5,12,15,3,0,19.45
25,150,1,0.5,1,2.0,1.5,11,15,7,3,21.67
15,100,2,0.5,2,2.0,1.5,10,15,13,8,22.58
16,140,2,0.5,1,2.5,1.5,10,17,6,0,21.55
18,150,3,0.5,1,2.0,1.5,13,17,12,8,21.32
16,120,3,0.5,1,2.0,1.5,14,18,13,9,22.76
22,110,1,0.5,1,2.0,1.5,11,18,10,3,20.61
25,120,2,0.5,1,2.0,1.5,14,17,4,1,20.87
22,150,1,0.5,1,2.5,1.5,14,17,6,4,21.31
15,140,3,0.5,1,2.0,1.5,14,17,11,8,20.68
22,140,1,0.5,3,2.5,1.5,15,18,3,0,20.78
18,130,3,0.5,1,2.0,1.5,12,18,13,7,22.94
15,130,1,0.5,4,2.5,1.5,14,15,14,13,31.0
15,100,2,0.5,2,2.0,1.5,14,15,14,13,30.92
17,140,1,0.5,2,2.5,1.5,12,16,14,10,28.91
23,140,2,0.5,1,2.5,1.5,14,15,6,5,21.51
15,120,3,0.5,2,2.5,1.5,13,15,4,6,20.12
15,110,1,0.5,2,2.0,1.5,14,17,14,11,28.79
15,140,3,0.5,1,2.5,1.5,12,16,4,0,21.17
15,100,2,0.5,2,2.0,1.5,10,14,12,8,21.93
15,130,2,0.5,1,2.0,1.5,13,14,15,14,36.28
24,100,2,0.5,1,2.0,1.5,11,13,8,6,20.52
19,150,2,0.5,2,2.0,1.5,11,16,13,8,22.35
22,110,2,0.5,2,2.0,1.5,12,18,4,3,21.18
24,150,2,0.5,1,2.0,1.5,10,14,4,0,21.29
16,150,2,0.5,2,2.5,1.5,12,15,15,12,37.43
19,150,2,0.5,1,2.0,1.5,12,16,4,0,21.13
19,110,2,0.5,2,2.5,1.5,14,16,4,6,20.43
17,150,2,0.5,1,2.5,1.5,12,13,13,12,24.68
23,140,2,0.5,1,2.0,1.5,15,17,2,0,19.21
16,150,2,0.5,3,2.0,1.5,11,13,2,0,20.16
15,150,1,0.5,1,2.0,1.5,12,17,16,11,39.72
18,100,2,0.5,1,2.5,1.5,11,13,4,2,19.94
24,120,1,0.5,1,2.0,1.5,10,13,9,6,20.35
22,150,1,0.5,3,2.0,1.5,14,15,0,1,20.19
18,120,3,0.5,1,2.5,1.5,11,13,14,12,28.86
25,120,2,0.5,1,2.0,1.5,15,17,2,0,19.24
16,120,2,0.5,1,2.0,1.5,10,18,10,2,21.72
23,100,1,0.5,2,2.0,1.5,15,17,5,3,21.14
15,120,2,0.5,1,2.0,1.5,12,16,4,0,21.29
19,140,3,0.5,1,2.0,1.5,14,15,1,0,20.29
18,130,3,0.5,1,2.0,1.5,11,15,14,10,28.27
22,100,2,0.5,1,2.0,1.5,11,15,0,4,20.07
16,140,2,0.5,3,2.0,1.5,14,17,11,8,20.83
15,140,3,0.5,1,2.5,1.5,14,17,3,0,19.24
15,150,2,0.5,1,2.0,1.5,15,18,3,0,20.55
15,150,1,0.5,4,2.0,1.5,14,17,4,2,21.09
24,150,2,0.5,1,2.0,1.5,14,15,3,2,20.44
16,150,1,0.5,1,2.0,1.5,10,16,16,11,37.95
15,120,1,0.5,2,2.0,1.5,12,13,16,15,40.27
17,120,1,0.5,2,2.0,1.5,12,13,14,13,31.13
24,110,2,0.5,1,2.0,1.5,12,15,7,4,20.17
24,120,2,0.5,1,2.5,1.5,10,12,9,7,20.49
15,100,1,0.5,4,2.5,1.5,14,15,14,13,31.04
18,140,2,0.5,1,2.0,1.5,14,17,11,8,20.73
17,120,3,0.5,1,2.0,1.5,12,13,14,13,31.03
16,120,2,0.5,1,2.0,1.5,12,15,6,9,20.58
15,140,2,0.5,1,2.0,1.5,14,17,2,0,20.59
22,150,1,0.5,1,2.0,1.5,14,17,7,4,19.95
21,150,3,0.5,1,2.0,1.5,14,16,8,6,21.76
15,100,2,0.5,2,2.0,1.5,13,15,2,0,19.61
15,150,1,0.5,4,2.0,1.5,15,17,13,11,22.39
15,150,1,0.5,2,2.0,1.5,14,15,14,13,30.85
16,120,1,0.5,2,2.0,1.5,12,13,15,14,39.26
24,150,2,0.5,1,2.0,1.5,12,16,7,3,20.08
24,120,2,0.5,1,2.5,1.5,13,15,6,4,20.06
24,150,2,0.5,1,2.0,1.5,15,18,0,1,15.59
17,140,1,0.5,3,2.0,1.5,14,15,12,11,22.53
22,150,1,0.5,3,2.0,1.5,14,15,3,2,20.45
22,130,1,0.5,3,2.0,1.5,13,17,8,4,20.26
24,110,2,0.5,1,2.0,1.5,11,13,2,4,20.07
17,150,1,0.5,3,2.0,1.5,13,16,13,10,22.51
16,110,2,0.5,3,2.0,1.5,11,17,4,0,19.77
23,140,2,0.5,1,2.0,1.5,14,15,2,3,20.26
22,140,2,0.5,1,2.0,1.5,14,18,0,3,18.95
18,100,3,0.5,1,2.0,1.5,13,17,4,8,20.23
17,140,3,0.5,1,2.5,1.5,14,18,0,4,19.98
22,110,1,0.5,1,2.0,1.5,14,18,4,3,20.84
19,150,1,0.5,3,2.0,1.5,13,17,4,7,21.22
22,100,2,0.5,2,2.0,1.5,10,16,11,5,20.86
16,140,2,0.5,1,2.0,1.5,14,17,13,10,22.92
18,100,2,0.5,1,2.5,1.5,11,16,8,6,20.21
16,150,1,0.5,2,2.0,1.5,12,14,4,2,21.6
16,150,3,0.5,2,2.0,1.5,10,12,2,0,21.54
24,120,1,0.5,2,2.5,1.5,12,13,0,1,20.94
15,150,1,0.5,4,2.5,1.5,14,15,3,2,20.57
24,110,2,0.5,1,2.0,1.5,10,12,6,7,20.32
23,110,2,0.5,1,2.0,1.5,13,15,2,0,19.59
15,150,3,0.5,2,2.0,1.5,12,17,16,11,39.82
22,110,3,0.5,1,2.5,1.5,11,18,8,3,20.23
18,120,1,0.5,2,2.0,1.5,11,16,14,9,28.27
15,100,2,0.5,2,2.0,1.5,13,15,4,6,20.13
22,150,3,0.5,1,2.5,1.5,14,16,4,5,19.96
22,140,3,0.5,1,2.0,1.5,14,15,0,1,20.09
16,150,4,0.5,1,2.0,1.5,15,17,6,6,20.4
16,140,1,0.5,3,2.0,1.5,14,17,11,8,20.84
21,150,2,0.5,1,2.5,1.5,12,15,10,7,21.91
19,150,1,0.5,1,2.0,1.5,12,16,12,8,22.21
15,120,3,0.5,1,2.0,1.5,13,15,2,0,19.58
16,150,1,0.5,1,2.0,1.5,13,15,8,10,20.21
16,100,3,0.5,2,2.5,1.5,14,16,13,11,23.24
15,150,3,0.5,2,2.0,1.5,10,12,16,16,37.48
