X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,8.15,6.71,21.69
20.33,115.4,1.6,0.69,2.56,2.39,1.88,14.94,15.99,4.49,5.53,20.0
18.48,120.1,1.85,0.88,2.68,2.32,1.67,11.35,17.17,6.85,7.36,21.66
21.63,109.7,0.9,0.95,2.07,2.49,1.7,11.19,17.23,6.09,0.05,20.56
17.52,119.5,1.18,0.58,3.77,2.18,1.62,12.47,14.96,5.0,2.51,21.1
21.39,102.0,3.65,0.26,0.5,2.33,1.83,14.54,17.46,0.22,3.14,20.15
21.17,135.9,3.8,0.56,0.5,2.52,1.7,12.43,14.83,8.79,7.0,22.45
24.19,91.6,2.38,0.17,0.94,2.32,1.75,10.11,17.58,7.72,0.24,21.83
20.46,123.9,1.5,0.49,2.6,2.31,1.8,12.17,16.46,5.04,6.08,20.76
24.74,108.4,3.09,0.58,0.5,2.44,1.79,13.75,16.87,4.51,1.4,20.69
23.64,85.8,1.52,0.45,1.84,2.24,1.7,11.59,14.98,6.88,4.38,21.0
20.28,124.2,1.91,0.73,2.32,2.66,1.78,12.33,12.74,1.09,1.5,20.85
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,5.52,3.6,21.38
23.52,93.3,2.66,0.23,0.86,2.4,1.74,10.76,14.97,8.7,4.51,22.52
16.45,120.1,1.28,0.52,3.25,2.05,1.55,14.36,16.76,8.62,9.8,20.11
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,13.72,3.72,3.54,20.25
21.22,132.5,0.99,0.71,3.06,2.66,1.7,11.25,11.39,1.91,2.05,21.15
20.12,135.1,0.61,0.72,3.62,2.28,1.76,11.63,16.88,8.94,6.0,21.55
23.3,111.9,2.86,0.58,0.78,2.62,1.84,11.76,16.85,3.12,2.85,21.65
17.9,121.9,2.0,0.81,1.74,2.28,1.78,11.54,15.87,7.87,3.54,22.35
24.17,116.9,2.44,0.31,1.04,2.68,1.96,13.53,13.82,2.02,2.31,21.45
20.28,119.2,1.02,0.55,1.26,2.56,1.86,10.88,16.9,0.32,5.83,21.31
19.48,122.8,2.1,0.66,0.96,2.52,1.95,13.03,16.13,8.08,7.39,21.52
21.24,127.0,0.53,0.99,0.77,2.63,1.97,10.04,16.58,11.71,5.17,22.54
22.92,115.7,3.45,0.41,0.5,2.25,1.66,10.86,13.27,3.86,6.27,20.58
24.75,85.6,2.89,0.64,0.5,2.36,1.81,11.26,16.34,6.93,1.9,21.9
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,17.11,2.95,5.78,20.83
23.98,95.7,3.19,0.28,0.5,2.45,1.61,10.07,13.33,8.75,5.49,21.33
15.44,136.1,1.13,0.38,3.98,2.19,1.69,10.16,14.57,2.89,7.3,20.99
24.81,130.0,2.08,0.71,1.29,2.5,1.76,10.75,12.96,2.28,4.48,20.01
24.37,99.2,1.37,0.9,2.06,2.57,1.63,11.37,12.63,4.78,3.52,21.78
23.9,120.1,2.28,0.47,1.24,2.18,1.66,10.19,15.55,8.92,3.55,21.35
22.68,102.9,0.64,0.14,1.18,2.2,1.53,13.03,14.1,7.3,6.23,21.44
23.48,96.3,0.55,0.87,2.8,2.46,1.96,10.25,11.88,1.01,2.64,21.31
21.05,118.6,0.69,0.6,3.35,2.1,1.57,14.21,14.95,4.71,3.97,19.77
23.45,108.2,3.35,0.35,0.5,2.61,1.81,10.3,16.0,9.26,3.55,21.31
21.22,134.3,0.99,0.71,3.06,2.62,1.7,11.25,11.39,1.91,2.05,21.12
20.28,122.7,0.5,0.73,2.83,2.64,1.95,12.33,13.05,0.96,1.69,21.4
24.23,91.7,2.38,0.15,0.94,2.25,1.75,10.26,17.58,7.72,1.19,21.57
20.46,122.2,1.53,0.49,2.6,2.33,1.82,12.17,16.46,5.05,6.08,20.64
22.91,111.9,2.86,0.58,0.78,2.61,1.84,11.76,13.24,3.12,2.85,22.43
23.43,119.2,1.02,0.55,1.28,2.62,1.81,10.29,16.9,0.28,2.67,22.03
21.17,113.0,3.75,0.56,0.5,2.21,1.7,12.43,14.83,8.79,7.0,22.46
24.08,120.1,2.25,0.47,1.25,2.18,1.66,10.19,14.94,8.42,3.68,22.06
24.17,116.9,2.44,0.31,1.04,2.68,1.96,14.21,16.29,4.62,2.54,21.76
19.95,133.5,0.61,0.27,3.72,2.14,1.63,11.63,13.43,7.79,5.99,22.52
18.48,120.1,1.85,0.88,2.68,2.32,1.67,11.35,17.17,6.85,7.35,21.63
19.77,102.0,3.6,0.21,0.55,2.03,1.53,14.37,17.16,4.66,4.66,20.89
20.59,120.0,3.07,0.72,1.07,2.04,1.52,13.55,13.74,3.72,3.57,20.14
24.14,80.4,1.36,0.44,1.84,2.17,1.67,10.76,14.98,6.88,3.88,22.18
24.77,108.4,3.09,0.58,0.52,2.44,1.79,13.73,16.9,4.51,1.34,20.28
21.16,138.6,1.14,0.96,2.06,2.22,1.7,10.8,13.74,3.01,0.07,21.53
21.05,115.4,1.59,0.69,2.56,2.39,1.88,14.96,15.99,4.49,3.98,22.14
17.07,121.9,2.0,0.4,1.74,2.16,1.66,10.36,15.8,7.87,3.54,21.49
23.45,108.0,3.35,0.36,0.5,2.5,1.69,10.3,16.0,7.76,2.06,21.24
16.28,122.8,2.1,0.27,0.96,2.07,1.57,13.03,16.3,7.67,4.4,20.96
23.9,120.1,0.77,0.38,1.24,2.18,1.66,10.33,15.53,8.75,3.55,22.13
17.9,121.9,1.99,0.81,1.65,2.27,1.77,11.54,15.54,7.54,3.54,22.36
18.3,115.8,1.44,0.81,1.53,2.21,1.71,14.26,17.12,2.95,5.37,21.1
20.46,123.9,2.09,0.51,2.28,2.31,1.8,10.28,16.46,5.04,6.08,21.26
20.28,118.8,1.1,0.55,1.26,2.54,1.86,10.88,16.9,0.32,5.82,21.33
20.36,130.0,1.9,0.73,1.29,2.48,1.76,10.45,12.74,1.1,1.48,20.71
24.75,85.6,2.88,0.25,0.5,2.36,1.81,11.26,16.38,6.93,1.87,22.23
23.3,111.9,2.87,0.08,0.84,2.62,1.84,12.28,16.85,7.42,2.85,20.98
21.17,136.0,3.8,0.56,0.5,2.52,1.7,12.43,14.83,8.79,7.0,22.44
24.37,99.2,1.4,0.64,2.04,2.57,1.63,11.3,12.63,4.78,3.52,22.16
23.48,97.8,1.2,0.87,2.29,2.29,1.79,10.25,11.88,1.01,1.46,21.21
18.26,115.7,1.44,0.81,1.53,2.21,1.71,14.16,17.11,2.95,0.51,19.76
23.31,115.7,3.37,0.41,0.51,2.24,1.64,10.86,16.88,3.86,2.81,20.07
20.3,108.2,3.35,0.35,0.5,2.32,1.82,10.89,16.0,8.89,3.78,22.87
