X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,Navg,Nrip,Ncog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,598.68,32.1,18.11,0.0,0.021077283372365353,0.41778975741239904
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,835.3,87.02,17.94,0.17279352699761935,0.7776553244248519,0.3719676549865235
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,839.21,103.16,19.97,0.17564883377879045,1.0,0.9191374663072774
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,1031.21,49.51,16.56,0.3158582716265756,0.260917481746797,0.0
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1133.16,37.84,19.2,0.3903080226087719,0.1001515360242458,0.7115902964959568
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,886.63,37.95,20.07,0.2102776438972382,0.10166689626670343,0.9460916442048519
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1096.11,55.53,17.82,0.363251982649082,0.3438490150158424,0.33962264150943433
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1001.87,30.57,19.17,0.2944325169054609,0.0,0.7035040431266852
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,949.9,40.16,19.25,0.25648103521301613,0.13211186113789772,0.7250673854447441
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1177.06,73.96,20.27,0.42236632636667687,0.5977407356385176,1.0
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1248.2,60.1,16.98,0.47431684411923647,0.4068053450888552,0.11320754716981175
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1470.8,56.34,18.41,0.6368721611240122,0.3550075768012123,0.49865229110512155
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1421.61,79.72,19.45,0.6009507952504052,0.6770905083344813,0.7789757412398921
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1372.49,53.21,16.91,0.5650805474010135,0.3118886899021904,0.0943396226415098
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1456.28,72.35,19.35,0.6262688223867735,0.5755613720898194,0.7520215633423186
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1327.07,53.02,19.08,0.5319122522601468,0.30927124948339996,0.6792452830188677
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1277.41,54.84,17.93,0.4956476653668084,0.3343435734949718,0.36927223719676566
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1155.16,96.69,18.47,0.40637368736216395,0.9108692657390826,0.5148247978436656
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1624.67,77.99,19.53,0.749236880924214,0.6532580245212838,0.800539083557952
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1635.89,78.53,19.74,0.7574303699484438,0.6606970657115305,0.8571428571428569
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1625.28,63.16,17.54,0.7496823379923759,0.4489599118335858,0.26415094339622647
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1593.54,75.18,18.75,0.7265039652981641,0.6145474583275934,0.5902964959568735
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1670.77,47.84,19.85,0.7829017511574582,0.23791155806584932,0.8867924528301891
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1556.28,54.63,18.14,0.6992945712658283,0.3314506130320981,0.42587601078167153
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,1833.52,63.36,18.97,0.9017511574581197,0.4517151122744179,0.6495956873315363
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,1968.06,71.31,20.23,1.0,0.5612343297974928,0.9892183288409706
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1815.25,72.44,16.59,0.8884093531379165,0.5768012122881939,0.008086253369272541
