X1,X2,X3,X4,AVG,RIP,P2P,THD
9.2,8.1,10.0,9.0,-1662.4346656210118,0.22852261555521225,5.3270584252235915,1.7938066047082009
1.0,1.0,1.0,1.1,-1222.6112490257196,0.6077461511798593,2.6083924025682412,110.46139619650825
8.5,1.2,8.5,1.4,-1352.7402332546203,0.10356171260712992,19.99798559463985,42.41017095908363
1.0,1.0,1.0,1.0,-1243.0871723125263,0.5750305413922102,2.3459446519272333,111.1978749922184
10.0,8.4,10.0,8.4,-1746.4873735814797,0.1586768752650958,5.742435309857466,25.928050085731083
9.9,8.3,9.9,8.4,-1732.774833061075,0.14503864968156832,5.218569976459017,284.0824465917902
8.8,1.6,8.8,1.7,-1375.8589518467556,0.1307476222517873,20.682527973682287,37.06191551496458
8.5,1.1,8.6,1.1,-1337.3808124686466,0.1234819515472129,19.255202344918956,44.258083515207886
10.0,8.4,10.0,8.9,-1727.5540804410966,0.15537975283581676,8.404053512684204,12.884898502757657
8.3,8.4,8.7,9.9,-1476.2889423272086,0.2381042281300118,4.916210409206689,76.70193562496249
10.0,8.3,10.0,8.3,-1709.9199193312618,0.16327893156861256,4.903962777800437,232.2109283909045
1.2,1.0,1.3,1.0,-1247.2237334345682,0.5375445887696177,3.217636980412597,111.77200383147039
9.9,8.4,9.9,8.4,-1746.4726288863026,0.1487189065657865,5.157264198848726,271.3373176216282
1.0,1.1,1.1,1.2,-1258.1098622473764,0.5808442339321925,3.265896626392027,25.60653429939902
8.9,1.9,8.9,1.9,-1387.7999475743554,0.14742589177557186,20.474100059728492,34.94586557921273
8.0,1.3,8.0,1.6,-1325.5482369463462,0.11460995184842566,19.828316328617774,46.422246405946396
8.7,7.6,10.0,10.0,-1555.0432334549794,0.45861058430070806,4.269890628206305,72.54142206534195
9.7,8.3,9.8,8.5,-1695.6334440427022,0.1460684066598482,4.573044984975397,215.64319642798952
9.6,8.1,10.0,9.4,-1673.9291918541626,0.2783233394136072,7.564228402230622,13.372400174173952
8.2,8.1,10.0,9.4,-1580.1583571212004,0.3367430630091617,4.66275121324659,72.44902279573122
8.0,1.0,8.0,1.6,-1326.362759941977,0.11203350374228493,19.96191812053044,48.346398827447366
1.1,1.0,1.1,1.0,-1255.5531387950452,0.5589634456944896,2.7859705381833773,114.26156740965808
8.8,8.1,10.0,9.0,-1635.150799787656,0.2545358327843581,3.417263538128819,140.18763177692045
8.5,8.4,9.9,9.2,-1601.9907948779794,0.26823792088809606,3.3510249417692197,158.84097050274244
9.7,8.2,9.8,9.0,-1683.9222186890615,0.16995770674223856,6.177895901805968,19.038569590430804
8.6,8.4,9.4,9.4,-1553.8723608405262,0.22342652324769538,3.6083934151999992,168.52764446344204
8.3,8.3,10.0,10.0,-1560.5284744149367,0.414483091103289,3.2140126499656683,124.58223268734812
1.0,1.0,1.1,1.2,-1229.6564242446698,0.6060261627913905,3.2566152180648316,105.84820020739816
9.4,8.3,9.4,9.0,-1642.8017519863226,0.13824861204781103,4.161520126147038,183.23682679493652
8.2,8.3,10.0,9.4,-1617.6512470361172,0.31010063451263553,4.087309011226713,85.08961405904682
8.3,8.2,9.3,9.9,-1493.077491654109,0.33423612520953444,4.214369463726933,83.32861831191836
10.0,8.1,10.0,8.9,-1707.9153935287823,0.19106467014107584,6.9056234577741336,16.572160131127724
9.4,8.4,9.4,9.4,-1588.9283651615679,0.1703693245279449,5.721089208585783,3.802334900146116
8.5,8.2,9.3,9.9,-1522.0137768246773,0.3058536182101436,3.8152523917749397,95.44823219598831
9.7,8.3,10.0,9.0,-1706.8742453143777,0.2027418871494641,8.033905305476939,11.906552290261304
8.9,7.7,9.9,9.8,-1571.9021683130557,0.3758423042577898,3.681371096358532,98.30670884037156
8.9,7.7,9.9,10.0,-1575.9127416778333,0.3970217440196837,3.778430505941442,106.80968170180154
8.7,8.4,8.7,9.8,-1519.5875763292252,0.18395370749453596,4.836379553331595,78.3357319900614
8.5,8.4,9.9,9.1,-1602.7879557493713,0.26123811482140274,3.483943850392807,139.06087750487183
9.0,7.7,10.0,9.9,-1566.4074579559717,0.41946248623930343,3.287570234659774,127.7216990695728
8.7,8.1,10.0,9.0,-1645.8463517669213,0.25682812108722824,3.8878608576790397,115.22864306784281
8.7,7.7,10.0,10.0,-1559.1947337299646,0.4499216111998811,3.8671176936003797,75.34062312015148
9.4,8.4,9.4,8.9,-1637.4329126894795,0.13782522389237908,4.412554926776279,194.18336471500496
9.7,8.1,9.7,8.7,-1681.713779570347,0.14257487826014967,3.9883170120515183,199.6345444332041
8.6,7.7,10.0,9.9,-1543.6395429694585,0.42706974332598563,4.323052375361314,78.24247012174642
8.3,8.6,8.7,9.9,-1503.3168228590498,0.21242955414746162,4.509953252755462,88.33480767270594
8.8,7.6,9.7,9.9,-1536.5657158811123,0.36982421793515313,4.540954135174225,77.16726439038739
9.4,8.3,9.4,8.9,-1623.9138057422197,0.13396460556537426,3.8007729486050597,159.6803287428285
8.2,8.3,9.9,9.8,-1550.9908377312731,0.3595836753852413,3.734200185026191,92.90077937750617
8.2,8.3,9.8,9.8,-1544.2089070893796,0.3500005735023579,3.7931154362145696,90.77505425635233
