X1,X2,X3,X4,AVG,RIP,P2P,THD
11,11,6,6,-1381.23,30.99,20.39,33.9
15,18,10,8,-1769.74,36.51,14.61,119.88
10,10,14,14,-1372.0,11.5,19.95,41.12
11,13,13,12,-1439.09,37.15,21.47,45.4
10,14,4,12,-1428.67,69.91,20.38,34.22
10,13,10,4,-1321.12,20.7,20.55,34.4
15,18,2,2,-1520.46,30.95,13.84,118.22
15,18,14,8,-1795.02,37.42,17.46,113.92
13,18,14,8,-1683.14,54.68,20.3,90.43
14,18,15,8,-1749.16,43.41,20.1,103.55
13,18,11,8,-1692.77,48.63,20.66,94.53
12,18,14,4,-1530.62,48.33,20.8,62.08
12,17,14,8,-1560.06,48.26,20.72,67.25
12,18,12,8,-1636.58,58.06,20.72,71.38
15,18,11,6,-1701.48,33.67,16.37,115.92
13,14,10,12,-1586.18,51.05,20.47,69.79
11,18,13,8,-1603.95,60.72,20.65,51.33
10,14,6,12,-1462.78,65.93,20.96,35.8
15,18,12,8,-1772.68,37.84,15.9,118.46
14,17,4,6,-1527.72,44.42,19.45,111.8
13,16,11,8,-1540.63,38.13,21.13,88.75
13,18,0,8,-1614.62,38.42,20.59,84.85
12,18,15,8,-1650.37,56.77,20.79,69.5
13,17,15,8,-1627.43,44.32,20.31,80.0
14,17,4,0,-1432.2,23.02,19.76,107.31
14,18,4,4,-1537.57,38.55,18.45,113.75
15,18,7,8,-1760.19,33.15,14.7,117.03
14,17,6,0,-1455.19,18.98,19.86,97.13
10,10,12,12,-1334.51,14.65,20.22,41.04
15,18,4,0,-1497.68,25.57,15.77,118.11
14,17,10,4,-1493.42,27.5,20.05,97.74
11,18,14,8,-1605.05,64.56,20.87,51.38
15,18,1,4,-1587.64,35.08,15.29,116.78
14,14,4,4,-1423.52,26.6,20.2,76.28
15,17,11,8,-1709.31,32.23,16.93,116.68
15,17,4,2,-1507.12,24.81,16.59,119.01
10,14,10,12,-1475.47,57.36,21.21,38.1
15,18,2,4,-1574.18,34.74,14.39,118.37
15,16,2,4,-1485.3,38.14,18.89,112.53
15,17,4,0,-1491.26,17.61,17.9,114.28
14,17,8,4,-1481.48,29.66,20.01,108.14
13,17,8,0,-1412.81,23.71,20.27,74.34
14,18,7,8,-1720.01,38.6,19.23,113.07
14,18,14,8,-1740.58,46.7,19.69,107.52
15,18,11,8,-1765.86,35.88,15.36,117.51
11,16,14,8,-1456.18,39.58,20.98,48.94
13,13,6,6,-1415.81,26.3,20.27,54.83
15,18,4,4,-1585.0,31.53,14.05,118.84
15,17,10,6,-1632.7,28.26,18.01,114.43
14,18,11,8,-1734.53,42.68,19.52,113.64
