X1,X2,X3,X4,Tavg,SNavg,Trip,SNrip,Tcog,SNcog,Tthd,SNthd
11.8,15.8,-0.2,-0.2,-1194.7893545962625,61.54582688894149,0.012365955832999936,38.15544617973926,4.238148644717718,-12.543523693312297,0.0,1
11.8,15.9,-0.1,-0.1,-1165.2798081034284,61.328604421824444,0.0009547200747907573,60.40247890956525,4.17983613990649,-12.423185133446674,0.0,2
11.8,16.0,0.0,0.0,-1149.5727925467518,61.21072953212256,0.0015950584028546766,55.94446821360111,4.191063345583045,-12.446484500042502,0.0,3
11.8,16.1,0.1,0.1,-1132.9808156459792,61.0844511234881,0.003968373510471156,48.0277491602846,4.211837947167386,-12.489433062211559,0.0,4
11.8,16.2,0.2,0.2,-1095.8083610863573,60.79469219610806,0.005569993145648039,45.08290678524738,4.206230507244308,-12.47786137880425,0.0,5
11.9,15.8,-0.1,0.0,-1179.6201255465535,61.43484346917291,0.0033818986413740775,49.41678825499959,4.133747341385742,-12.326878572118291,0.0,6
11.9,15.9,0.0,0.1,-1161.7268479102822,61.30208052338396,0.0027821703939285257,51.11232550358136,4.131713883308844,-12.322604789369633,0.0,7
11.9,16.0,0.1,0.2,-1123.4408397011885,61.011004148938206,0.007584645459081563,42.40129430614932,4.089728941742107,-12.23389049752252,0.0,8
11.9,16.1,0.2,-0.2,-1163.7797878854417,61.31741620500749,0.0014258761123772344,56.91836413271603,4.03834712069233,-12.124072929705616,0.0,9
11.9,16.2,-0.2,-0.1,-1139.3938433410763,61.13347736876005,0.006853591782484947,43.28163533659378,4.012508622661823,-12.06831957378094,0.0,1
12.0,15.8,0.0,0.2,-1154.5332239224622,61.248128701903745,0.019924891731734642,34.01208059606532,3.9969532718748777,-12.034581419615325,0.0,2
12.0,15.9,0.1,-0.2,-1187.537897547153,61.492949560598845,0.0011450082842000989,58.82382742334868,3.9667496872445334,-11.968695923381125,0.0,3
12.0,16.0,0.2,-0.1,-1152.0172471322971,61.229179621297945,0.004385254150413685,47.160104634676195,3.9510071667960975,-11.93415634911956,0.0,4
12.0,16.1,-0.2,0.0,-1137.7723021688437,61.12110714265778,0.006773403945828215,43.38386047159352,3.884489279813831,-11.786678544906067,0.0,5
12.0,16.2,-0.1,0.1,-1146.085976394663,61.18434396996078,0.01808729911309715,34.852525586907056,3.8787697606637757,-11.7738800228293,0.0,6
12.1,15.8,0.1,-0.1,-1208.5378681087623,61.64520526124519,0.014692753317007609,36.65793625800182,3.924001068614676,-11.874582339567972,0.0,7
12.1,15.9,0.2,0.0,-1185.28340033221,61.47644404464744,0.012954866891836454,37.75134089854638,3.8531494256594816,-11.716317026774618,0.0,8
12.1,16.0,-0.2,0.1,-1159.8517749645764,61.288049828880915,0.012317436625029618,38.18959327108864,3.9597196485764385,-11.953288772114668,0.0,9
12.1,16.1,-0.1,0.2,-1139.3009288252192,61.13276902884475,0.012565228643630782,38.01659208688975,3.92081520820937,-11.867527481320801,0.0,1
12.1,16.2,0.0,-0.2,-1175.3948809503163,61.40367589908587,0.011866191793484634,38.513772728636575,3.9053270814937107,-11.833148261009871,0.0,2
12.2,15.8,0.2,0.1,-1200.9843223786006,61.59074676339695,0.010845549872136331,39.29496848501847,3.747044727834847,-11.473777544480306,0.0,3
12.2,15.9,-0.2,0.2,-1174.5542782381578,61.39746182192582,0.005305052543069496,45.50620620678103,3.806875369467143,-11.611373179898122,0.0,4
12.2,16.0,-0.1,-0.2,-1203.4075661007746,61.608254753474824,0.002287035749095782,52.814540935991936,3.6867850314166786,-11.332956311160746,0.0,5
12.2,16.1,0.0,-0.1,-1175.588994938368,61.40511023702289,0.0091954374878253,40.72855207342593,3.7756896056713325,-11.539925686646846,0.0,6
12.2,16.2,0.1,0.0,-1149.407044770414,61.20947709234719,0.02040811850820385,33.80394064959845,3.7180901251264364,-11.406398254014576,0.0,7
