X1,X2,X3,X4,Tavg,SNavg,Trip,SNrip,Tcog,SNcog,Tthd,SNthd
14.8,17.8,6.8,3.8,-1591.8439971249284,64.03801008075222,0.2805893346119738,11.038576816345422,16.565543284079617,-24.384113671741172,117.8160484696157,-41.42408904961212
14.8,17.9,6.9,3.9,-1616.6249326553193,64.17218544979902,0.2899126124457167,10.754657811118154,16.458806563051695,-24.32796682181188,118.01950298871373,-41.43907562756213
14.8,18.0,7.0,4.0,-1607.1919223791042,64.1213548203116,0.30385377915720446,10.346707155600136,16.57580195814132,-24.38949098596469,118.87956420933973,-41.50214408751138
14.8,18.1,7.1,4.1,-1617.5484107425318,64.17714574605714,0.3212966204090939,9.861876851895307,16.3074978057925,-24.2477465751862,119.17039123156796,-41.52336730236936
14.8,18.2,7.2,4.2,-1627.625207849103,64.23108814740216,0.3420946123541428,9.317075309241812,16.144700765673527,-24.160599999734885,118.93514343218105,-41.50620401306725
14.9,17.8,6.9,4.0,-1609.5621763873996,64.13415515743661,0.2746210932435382,11.225322165914196,16.07316106547238,-24.122025933881726,118.68716817609389,-41.4880753577684
14.9,17.9,7.0,4.1,-1612.444749999257,64.14969685149147,0.292311415707282,10.683084474112327,16.027970635818082,-24.097570762168754,119.27866860425476,-41.53125565701203
14.9,18.0,7.1,4.2,-1626.4859927468387,64.22500655003407,0.3007090525491663,10.437069953920947,15.964489029951292,-24.063100455600278,119.52953493236353,-41.549504594938995
14.9,18.1,7.2,3.8,-1610.53603794336,64.13940894393174,0.3041397971508873,10.338534960999073,16.052592849328864,-24.110903811714024,117.97681099390233,-41.435933053399445
14.9,18.2,6.8,3.9,-1614.8559545652852,64.16267578501481,0.3121420640893749,10.112954042205029,15.633824464532209,-23.881304628419148,118.88645956525977,-41.502647879429176
15.0,17.8,7.0,4.2,-1623.5830579817602,64.20949021649915,0.27603995078696353,11.180561173860998,15.660461041870196,-23.89609086962723,118.94012091363015,-41.50656751327958
15.0,17.9,7.1,3.8,-1598.1536753114638,64.07237075776797,0.27548683708535754,11.197982942978118,15.671524996443376,-23.902225194611294,117.3436239121075,-41.3891899272617
15.0,18.0,7.2,3.9,-1613.2998364263492,64.15430179544268,0.2889154876542164,10.784583533314914,15.65973116229754,-23.89568604111424,119.08019245833717,-41.516790557707765
15.0,18.1,6.8,4.0,-1625.495157865755,64.21971360256951,0.2932803477632454,10.654340748157566,15.084221165524816,-23.570457828507315,118.71194433160103,-41.48988836330915
15.0,18.2,6.9,4.1,-1625.8199412747772,64.22144892059954,0.3139560167495976,10.062623791459007,14.887500787804367,-23.456435949449364,116.45705457071487,-41.323316034886844
15.1,17.8,7.1,3.9,-1618.883170219018,64.18431016394975,0.2554822165607679,11.8527864912757,15.220375354689697,-23.648507256917625,117.44404493522259,-41.39662001063524
15.1,17.9,7.2,4.0,-1606.2865619694012,64.11646052221829,0.2797188795201206,11.065564401943801,14.829519742953554,-23.42254173080032,117.66522771225388,-41.412962792323704
15.1,18.0,6.8,4.1,-1630.8219780264428,64.24813111313598,0.2803328983941792,11.046518654664814,14.496888647587852,-23.22549606100737,117.66738876287121,-41.413122316723225
15.1,18.1,6.9,4.2,-1634.005946074765,64.26507265155047,0.3082727494237061,10.221297283477014,14.395132891208968,-23.16431356997476,116.3275249883584,-41.31364976081096
15.1,18.2,7.0,3.8,-1606.0381996976223,64.11511741562273,0.29286713910496764,10.666587104162668,14.315910535427072,-23.116379513705866,117.45118664161014,-41.3971481786454
15.2,17.8,7.2,4.1,-1609.8697029300674,64.13581454438352,0.2617424718094624,11.642516011406578,14.374866002494468,-23.152076100765917,116.96091408880292,-41.360815075684016
15.2,17.9,6.8,4.2,-1645.2315959877847,64.32454082723852,0.2612649175872494,11.658378060422356,14.037057598425623,-22.945521639224378,117.08985479778909,-41.37038534872126
15.2,18.0,6.9,3.8,-1597.8283987262644,64.07060271497849,0.27153601323744647,11.323451254240835,13.981855373381308,-22.911296110533957,117.21441908906543,-41.37962079091661
15.2,18.1,7.0,3.9,-1605.5742755349797,64.11260802562862,0.27163359205339194,11.320330465348462,13.882257882970826,-22.849202155758373,117.21222318944369,-41.37945806758802
15.2,18.2,7.1,4.0,-1640.0010564316733,64.29688255610394,0.29013982948470923,10.747852970442187,13.921459819978097,-22.873695565432463,116.99666936440244,-41.36346997043604
