X1,X2,X3,X4,AVG,RIP,P2P,THD
8.5,8.0,9.8,8.1,-1643.5078100573894,0.23072137869231257,8.839265824762007,78.67826873998345
5.5,4.1,7.0,6.4,-1323.9640579705747,0.31423957900092647,21.134961328765293,36.01803507872106
1.0,1.1,1.8,1.1,-1222.2472706423198,0.49827717140407934,4.48365798530916,95.4737153773796
8.8,8.2,8.8,8.2,-1568.3078901948202,0.15367168025574982,10.018374032977828,89.88043430274756
1.9,1.1,1.9,1.1,-1275.8351023366388,0.46985135367417297,6.411549649739449,19.456995090242
1.0,1.1,1.0,1.1,-1251.74949373559,0.5704341777254862,2.750153947792234,109.90557625803643
8.3,3.5,8.8,9.2,-1288.360392673169,0.7368175471413693,13.689076504251883,43.87467351371896
1.5,1.1,1.8,1.2,-1242.6299220961728,0.516662346690247,6.091851075680063,26.429509850349216
8.5,8.0,9.6,8.1,-1627.0134718043105,0.21131559495693059,9.13807602523002,80.32705071334487
8.3,3.6,8.7,8.1,-1370.8035599829084,0.36785022042324095,14.161360365482725,43.91533200732425
8.0,4.2,8.6,7.0,-1469.8105696491816,0.2533247873236966,15.86905263777898,50.195837498062865
6.0,4.3,6.0,7.7,-1335.854056066331,0.35308005391669717,20.049466473779482,34.02887411084469
1.0,1.0,1.0,3.8,-1276.0695100438443,0.7036035027402463,4.602895565911275,86.83326499079585
1.0,1.1,1.0,1.4,-1236.8950017256286,0.6160088403172063,3.6325593744357243,38.28723297007504
1.1,1.4,1.1,4.4,-1318.0113516896913,0.6415886063267532,7.324724287683798,74.2795150082827
8.9,4.5,9.5,7.6,-1519.4000763162537,0.3388493948129223,11.052859583998627,72.98575177862075
1.6,8.5,1.6,8.5,-1470.9018240526082,0.1919861190275233,15.020191365242724,62.42339840493254
8.8,8.0,8.8,8.0,-1582.4569035758245,0.1613853821803494,11.183973008329476,94.73250988069222
8.3,3.0,9.3,8.1,-1389.5901538467836,0.44071001928601206,12.267172873918474,49.072823518937156
6.0,4.9,6.0,7.7,-1342.0701052435415,0.3293261054807199,20.374770926727635,37.6176495080184
8.9,3.6,8.9,8.1,-1412.3315636387172,0.4125857109333906,12.787239761255968,49.612342563326585
1.0,1.3,1.0,1.3,-1246.3594662994574,0.6021238716644582,3.3285660059924393,104.60244814629151
8.4,3.9,9.8,8.8,-1408.1136639582298,0.6635302181250142,11.412714076947225,60.43411109754095
8.4,4.2,10.0,7.0,-1555.0767123450516,0.2769263079497203,11.492585531396776,63.39960420002939
8.8,3.6,8.8,8.3,-1381.2762782546283,0.4556674880408053,13.28145539252233,46.31808158651234
4.7,6.0,4.7,7.2,-1425.4919657978608,0.34780373799759445,20.65972116414822,36.53137409816518
8.2,3.9,8.7,8.1,-1385.5737011222577,0.3904848595188314,14.330871717018468,46.62313082685634
8.3,3.1,9.8,8.8,-1338.403397538862,0.7094163841269987,11.915384910284548,56.41581575174108
1.1,1.1,1.8,1.1,-1229.656824106192,0.4903715036342561,4.91397162557308,97.80662374915515
1.1,1.0,1.1,4.4,-1287.8695895007618,0.6548750977476506,5.049673333909356,83.9234557735239
9.2,7.5,9.2,7.5,-1612.852951915363,0.17817910097824233,11.475896120834822,75.20691893193982
1.0,1.2,1.4,1.2,-1250.4916718609784,0.536102534595571,4.391018046518809,102.04087557506406
1.8,7.5,1.8,7.8,-1443.6149977065445,0.19494697183230064,19.625785257532968,61.06845457984522
8.7,4.8,8.8,7.5,-1502.7711679777276,0.2864566291069764,13.141807572824343,55.70553010665657
7.8,4.2,7.8,7.0,-1412.1819771899238,0.24715810991387896,19.066024817980193,49.64411829588111
1.0,1.1,1.6,6.6,-1292.2001622007742,0.513895097497717,7.664412485915133,71.76162877054944
1.7,8.0,1.7,8.1,-1468.3069518672503,0.1906816694992717,17.75588201408882,61.159100376774475
8.2,4.1,9.7,4.1,-1454.7071725548403,0.5245277417118162,12.10931002026167,52.278396437238705
1.5,8.0,1.5,8.1,-1469.3033206916325,0.1879581353714979,17.2054205737672,64.32371268726034
1.0,1.1,1.1,1.1,-1233.438480301944,0.5867383686618532,2.969783857504579,108.39258805942409
8.4,8.0,9.8,9.0,-1603.943903140334,0.22647602208908238,5.495765113041468,75.1650990541069
8.9,4.5,9.5,7.0,-1541.7195130468472,0.24172206333814644,11.072021434781032,73.35628752595538
1.3,1.5,1.3,4.0,-1301.4060822289869,0.6427075576508265,9.069789423399527,67.9360577867296
1.1,1.3,1.1,1.3,-1257.9495924897014,0.5775889692038875,3.8241986274043094,103.24227908924868
8.4,3.8,10.0,3.8,-1491.67087431044,0.5787820862428245,11.382279490600173,65.22273575753756
8.2,4.2,9.5,7.6,-1493.6746382642032,0.3218460078100619,12.555832062286838,54.35383011425441
8.4,8.0,9.8,9.2,-1600.5244511622814,0.23872139026726347,5.126978461068584,79.22801692026941
7.8,4.2,9.8,7.0,-1496.0047746187597,0.342384913408879,14.478421171290865,51.178096478472526
8.4,4.0,9.7,7.4,-1509.5938040690912,0.3135144034339916,11.663452105942856,60.19334492847164
2.7,6.8,2.7,7.4,-1465.9473935408705,0.23664624645246085,21.011974050166877,48.96790390632265
