X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,1530.5639933385476,63.697029845904005,0.5825253999154001,4.693702666035376
16.0,130.0,1.25,0.7,2.25,1.75,1501.4931680022455,63.53046720881288,0.5803267947468613,4.726547536079534
16.0,140.0,1.5,0.8,2.5,2.0,1441.6481686000488,63.17718569200771,0.6329435527463374,3.97270039124499
16.0,150.0,1.75,0.9,2.75,2.25,1425.4557830402737,63.07907500492712,0.6567801415275677,3.6515997412613372
16.0,160.0,2.0,1.0,3.0,2.5,1331.9257304017024,62.48960017572499,0.6810727843288767,3.3361294755970667
16.5,120.0,1.25,0.8,2.75,2.5,1354.322641303423,62.634442779534645,0.6428150821877767,3.8382788412204025
16.5,130.0,1.5,0.9,3.0,1.5,1558.0385395710723,63.85156392316276,0.4662804370488128,6.6270561026612125
16.5,140.0,1.75,1.0,2.0,1.75,1567.4407718627,63.903822786684394,0.6388408553469042,3.8921463502220117
16.5,150.0,2.0,0.6,2.25,2.0,1606.8100161221764,64.11929060524338,0.670244577569265,3.475333817435715
16.5,160.0,1.0,0.7,2.5,2.25,1532.3570173088058,63.707199229997784,0.7374515116011542,2.6453305967951306
17.0,120.0,1.5,1.0,2.25,2.25,1468.614107772169,63.338153916060136,0.6508099954003816,3.730915712309754
17.0,130.0,1.75,0.6,2.5,2.5,1489.8475780938193,63.46283678597946,0.6793943359529363,3.357561562467853
17.0,140.0,2.0,0.7,2.75,1.5,1680.8015500507092,64.51032879816924,0.4944576077871926,6.11741873222761
17.0,150.0,1.0,0.8,3.0,1.75,1595.4246846616388,64.05752614479441,0.6478264332946699,3.770826708492621
17.0,160.0,1.25,0.9,2.0,2.0,1635.9407174447767,64.27535123666831,0.7335124426877783,2.6918502950422125
17.5,120.0,1.75,0.7,3.0,2.0,1503.7851539867095,63.5437158593802,0.5020544441304784,5.984983684854973
17.5,130.0,2.0,0.8,2.0,2.25,1599.3423020324256,64.0788284866082,0.6822505380261833,3.3211222634226467
17.5,140.0,1.0,0.9,2.25,2.5,1589.4251059592311,64.02480137373632,0.7349895329666878,2.6743769137495055
17.5,150.0,1.25,1.0,2.5,1.5,1753.2664437450176,64.87695841605901,0.554521011599819,5.121639863191958
17.5,160.0,1.5,0.6,2.75,1.75,1735.05823481529,64.7862811172295,0.5258861766819453,5.58216489594435
18.0,120.0,2.0,0.9,2.5,1.75,1659.6330574093931,64.40024153479818,0.5124071177397996,5.807696923837856
18.0,130.0,1.0,1.0,2.75,2.0,1606.0447708620504,64.1151529541873,0.6634458521848434,3.563890334874071
18.0,140.0,1.25,0.6,3.0,2.25,1618.5975115842284,64.1827773675403,0.6173106753532932,4.1899242514584145
18.0,150.0,1.5,0.7,2.0,2.5,1734.2365444357342,64.78216667176375,0.7369982474555876,2.6506708973989577
18.0,160.0,1.75,0.8,2.25,1.5,1909.2226767709906,65.61713168105385,0.5647484572976116,4.962898935041747
