X1,X2,X3,X4,X5,X6,MaxAng
16.0,120.0,1.0,0.6,2.0,1.5,46.0
16.0,130.0,1.25,0.7,2.25,1.75,46.0
16.0,140.0,1.5,0.8,2.5,2.0,45.0
16.0,150.0,1.75,0.9,2.75,2.25,45.0
16.0,160.0,2.0,1.0,3.0,2.5,43.0
16.5,120.0,1.25,0.8,2.75,2.5,0.0
16.5,130.0,1.5,0.9,3.0,1.5,46.0
16.5,140.0,1.75,1.0,2.0,1.75,45.0
16.5,150.0,2.0,0.6,2.25,2.0,44.0
16.5,160.0,1.0,0.7,2.5,2.25,45.0
17.0,120.0,1.5,1.0,2.25,2.25,45.0
17.0,130.0,1.75,0.6,2.5,2.5,45.0
17.0,140.0,2.0,0.7,2.75,1.5,42.0
17.0,150.0,1.0,0.8,3.0,1.75,46.0
17.0,160.0,1.25,0.9,2.0,2.0,45.0
17.5,120.0,1.75,0.7,3.0,2.0,44.0
17.5,130.0,2.0,0.8,2.0,2.25,44.0
17.5,140.0,1.0,0.9,2.25,2.5,45.0
17.5,150.0,1.25,1.0,2.5,1.5,46.0
17.5,160.0,1.5,0.6,2.75,1.75,44.0
18.0,120.0,2.0,0.9,2.5,1.75,44.0
18.0,130.0,1.0,1.0,2.75,2.0,0.0
18.0,140.0,1.25,0.6,3.0,2.25,44.0
18.0,150.0,1.5,0.7,2.0,2.5,44.0
18.0,160.0,1.75,0.8,2.25,1.5,44.0
